id,length,comment,annotator_1,annotator_2,change
6,23,විදුලිය කපන කාලසටහන වගේ,negative,negative,1
7,39,ඔයා යාලුවෙක්ට තුරුල් වෙලා උනුසුම ලබන්න.,positive,positive,1
17,19,මට නමි අපැහැදිලියි.,negative,negative,1
23,33,මේකත් රුසියාවේ ලණුවක්ද කවුද දන්නෙ,negative,negative,1
24,42,ඕක අහුවෙන්න ඇරපු එකත් පුටිනගෙ ප්ලෑන් එකක්.,neutral,neutral,1
25,38,කොලේක ලියල තියයිද ඔයවගේ දේවල් මෝඩ කථා.,negative,negative,1
30,38,අපේ ප්රශ්ණ අමතක කෙරුවට රුසියාවට ආදරෙයි,positive,positive,1
32,14,අපිට පාන්ද ඩෝ.,negative,negative,1
33,29,නෑ උඹට ෆෝමලින් ගහපු හේන් කරවල,negative,negative,1
35,31,කොට කිඹුලා කටින් තියන්නද ලොල්ලො,negative,negative,1
37,33,ඌට බැරි නම් උඹ තියාගනින්කො ලොල්ලො,negative,negative,1
57,27,2015 දි මොල හතාත් පැනල ගියේ,negative,negative,1
60,28,එකට අපේ මැදමුලනේ හෙන්චයෝ ටික,negative,negative,1
70,28,අම්මෝ වරෙන් කටේ මසුරං දාන්න.,positive,positive,1
88,19,පල ඩෝ ලොකු එක නොදී.,negative,negative,1
91,34,බල්ලා ලොල් ලාල් ට වඩා වටිනවා නේ බං,negative,negative,1
109,33,නගින බහින එව්වට ආගම් අදාළ නෑ සහෝ.,neutral,neutral,1
127,39,ඇයි අෆ්ෆා අපිව අරන් යන්න කවුරුත් නැත්තෙ,neutral,neutral,1
152,22,උඹත් පැදිකරුමයෙක් නේද.,negative,neutral,0
155,24,මගේ රටට දළදා හිමි සරණයි.,positive,positive,1
168,32,මොනව කලත් මියෝ නම් සිංහයෝ නොවෙති,negative,negative,1
175,35,ඔඩොක්කු කුක්කෙක් තමයි බලා ගෙන ගියාම,negative,neutral,0
185,11,මාධ්ය පොකුර,neutral,neutral,1
195,12,කොහේද පැත්තක,neutral,neutral,1
210,35,මෙන්න වහල් බයියෙකුට කේන්ති ගිහිල්ලා,negative,negative,1
214,39,කොහේද මේ ජනාධිපති හිටංගේ කොන්ද පණ නෑනේ.,negative,negative,1
223,27,ශ්රී ලංකා රාජපක්ෂ චීන ජනරජය,neutral,neutral,1
228,22,හම්බන්තොට වික්කෙ කවද්ද,neutral,neutral,1
235,40,අඩේ බහුසෘත උඹ ඉන්න කැලෑවට සිග්නල් තියනවද,negative,negative,1
238,28,වල අයට එකට කරන්ඩ බැහැ වැස්සො,negative,negative,1
241,36,ආණ්ඩුව පෙරලෙන බවට පෙර නිමිති පහල වේ.,negative,neutral,0
246,24,සර් එක්ක ලේසි වෙන්නේ නෑ.,negative,negative,1
271,22,අපි හම්බකරොත් අපි කනවා,neutral,positive,0
272,32,මං වගකියන්න මං දැනගෙන ඉන්න එපායැ,negative,negative,1
289,32,මගේ එකත් රාජපක්ස පවුලට දෙනවා මම.,neutral,neutral,1
295,28,මුන් හරක් නෙමෙයි.ගව පට්ටියක්,negative,negative,1
301,25,මේක යක්ෂ දෝෂයක් වෙන්න ඇති,negative,negative,1
319,9,හම්බයෙක්ද,negative,negative,1
325,35,එක අන්තිම සවුත්තු බැංකුවක් හොඳ වැඩේ,negative,negative,1
329,32,අය් බන් ලෝන් එක දුන්නේ නැද්ද උබට,negative,negative,1
330,14,යට ටිකත් බලපන්,neutral,neutral,1
331,40,අපොයි ඔව්. හරිම නිවැරදියට තියෙයි වාර්තා.,positive,positive,1
351,16,හරිම හොද තීරනයක්,positive,positive,1
355,11,මොන පොකුරෙද,neutral,neutral,1
356,26,මෙයා බ්රැන්ඩික්ස් නෙවෙයි ද,neutral,neutral,1
358,32,ශුවර් ද ලාල් මාත් හම්බන්තොට තමයි,neutral,neutral,1
359,17,ඉතිං මට පාන්ද ඩෝ.,negative,negative,1
368,21,එතකොට කෝ නයනි ගයාත්රි,neutral,neutral,1
374,34,මුන් වයසට ගියාට වෙලා නෑ හද්ද ගොන්.,negative,negative,1
392,40,චීනය වලට නම් ඉස්සරහට අපිට ඕව ගෙවන්න බැහැ,negative,negative,1
423,34,කොරෝනා බේතක් තියෙනවා. එත් ඒක රහසක්,conflict,conflict,1
431,31,මිනිස්සු වැලලෙන්නෙත් බොරුවටද බං,negative,negative,1
439,37,මෙතන ආන්ඩුවෙ රෙදි අපුල්ලන් නැතිව 200.,negative,negative,1
442,22,සින්දුවක් කියන්න බැරිද,neutral,neutral,1
443,31,ඒ උනාට තාම සමාජයේ පැතිරිලා නෑලූ,positive,positive,1
445,36,අම්මපා ඔහොම පංති අපිට සෙට් වුනේ නැනේ,negative,negative,1
457,20,මගේ වයිෆ් වගේ සමනලයා,positive,neutral,0
459,25,මේ වැලිගම මොන ස්කූල් එකේද,neutral,neutral,1
460,28,බදියුදීන්ව හොයන්න බැරිද ඔහොම,neutral,neutral,1
466,9,නියම කතාව,positive,positive,1
467,39,සිරාවට මටත් ඕකම කොටන්ඩ හිතුනා අසහනකාරයෝ,negative,negative,1
474,28,අපේ කාලෙ ඔහොම ල හිටියෙ නෑ නේ,neutral,negative,0
479,17,සභාවේ තදින් සිනා.,positive,positive,1
